playerID,yearID,stint,teamID,lgID,bats,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,PA,avg,allStar,allStarStart,weight,height,Rating
minosmi01,1955,1,CHA,AL,R,139,517,79,149,26,7,10,70,19,8,76,43,3,10,8,4,18,30,3.66,0.288,-1,-1,175,70,0.319924978
miranwi01,1955,1,BAL,AL,B,153,487,42,124,12,6,1,38,4,3,42,58,4,1,3,3,9,29,3.265,0.255,-1,-1,150,69,0.115911058
moonwa01,1955,1,SLN,NL,L,152,593,86,175,24,8,19,76,11,11,47,65,4,3,1,1,11,25,3.951,0.295,-1,-1,169,72,0.224671512
morgabo01,1955,1,PHI,NL,R,136,483,61,112,20,2,10,49,6,4,73,72,0,0,6,3,13,29,3.432,0.232,-1,-1,175,69,0.134045193
muelldo01,1955,1,NY1,NL,L,147,605,67,185,21,4,8,83,1,2,19,12,4,3,5,7,13,28,3.852,0.306,1,9,185,72,1
musiast01,1955,1,SLN,NL,L,154,562,97,179,30,5,33,108,5,4,80,39,19,8,2,4,12,35,3.963,0.319,1,0,175,72,0.464643665
piersji01,1955,1,BOS,AL,R,149,515,68,146,25,5,13,62,6,1,67,52,7,2,9,6,16,26,3.593,0.283,-1,-1,175,72,0.224479941
postwa01,1955,1,CIN,NL,R,154,601,116,186,33,3,40,109,7,4,60,102,5,2,2,3,15,26,4.08,0.309,-1,-1,190,73,0.196801228
powervi01,1955,1,KC1,AL,R,147,596,91,190,34,10,19,76,0,2,35,27,6,0,3,5,12,28,3.895,0.319,1,0,186,72,0.555402429
reesepe01,1955,1,BRO,NL,R,145,553,99,156,29,4,10,61,8,7,78,60,1,3,13,5,22,37,3.895,0.282,-1,-1,160,70,0.229273057
repulri01,1955,1,SLN,NL,R,147,512,64,138,28,2,23,73,5,7,49,66,3,4,3,8,17,27,3.463,0.27,-1,-1,195,72,0.192634186
riverji01,1955,1,CHA,AL,L,147,454,71,120,24,4,10,52,25,16,62,59,6,1,10,3,5,34,3.185,0.264,-1,-1,196,72,0.20555057
rosenal01,1955,1,CLE,AL,R,139,492,61,120,13,1,21,81,4,2,92,44,5,4,0,8,14,31,3.605,0.244,1,0,180,70,0.26819627
runnepe01,1955,1,WS1,AL,L,134,503,66,143,16,4,2,49,3,9,55,51,2,1,4,4,14,27,3.444,0.284,-1,-1,170,72,0.179093464
schoere01,1955,1,SLN,NL,B,145,553,68,148,21,3,11,51,7,7,54,28,5,4,0,4,9,32,3.747,0.268,1,4,170,72,0.375000581
sievero01,1955,1,WS1,AL,R,144,509,74,138,20,8,25,106,1,2,73,66,3,4,0,5,17,29,3.593,0.271,-1,-1,195,73,0.231108739
smithal04,1955,1,CLE,AL,R,154,607,123,186,27,4,22,77,11,6,93,77,1,15,3,7,4,27,4.321,0.306,1,0,189,72,0.223489987
snidedu01,1955,1,BRO,NL,L,148,538,126,166,34,6,42,136,9,7,104,87,19,1,4,6,9,29,3.963,0.309,1,8,179,72,0.264409601
templjo01,1955,1,CIN,NL,R,150,588,94,165,20,3,0,50,19,4,80,32,0,1,10,5,6,28,4.123,0.281,-1,-1,175,71,0.379018453
thomafr03,1955,1,PIT,NL,R,142,510,72,125,16,2,25,72,2,0,60,76,10,2,3,6,13,26,3.519,0.245,1,0,200,75,0.162125972
thompha02,1955,1,NY1,NL,L,135,432,65,106,13,1,17,63,2,2,84,56,4,4,5,8,5,30,3.185,0.245,-1,-1,174,69,0.187473549
triangu01,1955,1,BAL,AL,R,140,481,47,133,17,3,12,65,0,0,40,55,4,2,3,3,9,25,3.216,0.277,-1,-1,205,75,0.170795406
tuttlbi01,1955,1,DET,AL,R,154,603,102,168,23,4,14,78,6,3,76,54,2,1,13,5,25,26,4.191,0.279,-1,-1,190,72,0.274035812
vernomi01,1955,1,WS1,AL,L,150,538,74,162,23,8,14,85,0,4,74,50,9,3,4,8,17,37,3.778,0.301,1,3,170,74,0.266037134
virdobi01,1955,1,SLN,NL,L,144,534,58,150,18,6,17,68,2,4,36,64,3,1,6,9,10,24,3.519,0.281,-1,-1,175,72,0.172214619
whitesa02,1955,1,BOS,AL,R,143,544,65,142,30,4,11,64,1,2,44,58,4,7,5,3,23,28,3.63,0.261,-1,-1,195,75,0.196742898
zauchno01,1955,1,BOS,AL,R,130,477,65,114,10,0,27,93,3,0,69,105,1,3,1,6,8,26,3.37,0.239,-1,-1,220,76,0.122925383
aaronha01,1956,1,ML1,NL,R,153,609,106,200,34,14,26,92,2,4,37,54,6,2,5,7,21,22,3.988,0.328,1,0,180,72,0.349844926
aparilu01,1956,1,CHA,AL,R,152,533,69,142,19,6,3,56,21,4,34,63,2,1,14,1,9,22,3.5,0.266,-1,-1,160,69,0.19048962
ashburi01,1956,1,PHI,NL,L,154,628,94,190,26,8,3,50,10,1,79,45,3,5,6,1,4,29,4.364,0.303,-1,-1,170,70,0.292757796
avilabo01,1956,1,CLE,AL,R,138,513,74,115,14,2,10,54,17,4,70,68,0,5,8,1,12,32,3.599,0.224,-1,-1,175,70,0.17340233
bakerge02,1956,1,CHN,NL,R,140,546,65,141,23,3,12,57,4,3,39,54,2,3,13,5,15,31,3.611,0.258,-1,-1,170,73,0.209474891
bankser01,1956,1,CHN,NL,R,139,538,82,160,25,8,28,85,6,9,52,62,18,0,0,3,7,25,3.642,0.297,0,0,180,73,0.260240114
bauerha01,1956,1,NYA,AL,R,147,539,96,130,18,7,26,84,4,2,59,72,3,2,7,5,11,34,3.691,0.241,-1,-1,192,72,0.224998552
bellgu01,1956,1,CIN,NL,L,150,603,82,176,31,4,29,84,6,2,50,66,4,3,7,3,10,28,4.031,0.292,1,8,190,73,0.24654959
berrayo01,1956,1,NYA,AL,L,140,521,93,155,29,2,30,105,3,2,65,29,7,5,1,5,8,31,3.617,0.298,1,2,185,67,0.622868235
blasido01,1956,1,SLN,NL,L,150,587,94,153,22,7,0,27,8,8,72,52,0,3,2,1,3,24,4.068,0.261,-1,-1,160,70,0.209589617
blaylma01,1956,1,PHI,NL,L,136,460,61,117,14,8,10,50,5,1,50,86,2,2,5,5,10,27,3.148,0.254,-1,-1,175,73,0.11871543
boonera01,1956,1,DET,AL,R,131,481,77,148,14,6,25,81,0,0,77,46,8,3,2,5,13,33,3.444,0.308,1,0,172,72,0.304365791
boyerke01,1956,1,SLN,NL,R,150,595,91,182,30,2,26,98,8,3,38,65,7,1,2,3,18,25,3.907,0.306,1,5,190,73,0.270487292
brutobi01,1956,1,ML1,NL,L,147,525,73,143,23,15,8,56,8,6,26,63,11,1,18,8,7,31,3.401,0.272,-1,-1,169,72,0.20033405
busbyji01,1956,1,CLE,AL,R,135,494,72,116,17,3,12,50,8,3,43,47,2,4,5,0,13,29,3.315,0.235,-1,-1,175,73,0.237709149
carrach01,1956,1,CLE,AL,R,141,474,60,115,15,1,7,48,0,4,52,61,0,6,9,3,9,30,3.247,0.243,-1,-1,170,72,0.148164963
clemero01,1956,1,PIT,NL,R,147,543,66,169,30,7,7,60,6,6,13,58,2,4,8,4,14,22,3.432,0.311,-1,-1,175,71,0.209339227
dobyla01,1956,1,CHA,AL,L,140,504,89,135,22,3,24,102,0,1,102,105,6,4,4,5,7,33,3.741,0.268,-1,-1,180,73,0.15758172
ennisde01,1956,1,PHI,NL,R,153,630,80,164,23,3,26,95,7,3,33,62,8,3,3,3,15,31,4.093,0.26,-1,-1,195,72,0.260199017
fondyde01,1956,1,CHN,NL,L,137,543,52,146,22,9,9,46,9,7,20,74,5,0,7,10,4,32,3.475,0.269,-1,-1,195,75,0.137049931
foxne01,1956,1,CHA,AL,L,154,649,109,192,20,10,4,52,8,4,44,14,1,10,13,5,19,29,4.278,0.296,1,4,160,70,1
furilca01,1956,1,BRO,NL,R,149,523,66,151,30,0,21,83,1,1,57,41,15,1,2,4,27,34,3.58,0.289,-1,-1,190,72,0.338092384
gardnbi02,1956,1,BAL,AL,R,144,515,53,119,16,2,11,50,5,5,29,53,1,7,8,1,15,29,3.358,0.231,-1,-1,170,72,0.178309943
gilliji01,1956,1,BRO,NL,B,153,594,102,178,23,8,6,43,21,9,95,39,6,4,6,2,5,28,4.253,0.3,0,0,175,70,0.358981422
groatdi01,1956,1,PIT,NL,R,142,520,40,142,19,3,0,37,0,3,35,25,3,0,17,3,14,26,3.426,0.273,-1,-1,180,71,0.273457815
hodgegi01,1956,1,BRO,NL,R,153,550,86,146,29,4,32,87,3,3,76,91,10,0,5,2,16,32,3.864,0.265,-1,-1,200,73,0.182579551
jenseja01,1956,1,BOS,AL,R,151,578,80,182,23,11,20,97,11,3,89,43,5,1,1,4,23,29,4.117,0.315,-1,-1,190,71,0.388070871
joneswi01,1956,1,PHI,NL,R,149,520,88,144,20,4,17,78,5,4,92,49,6,1,3,5,15,31,3.778,0.277,-1,-1,188,73,0.298336275
kalinal01,1956,1,DET,AL,R,153,617,96,194,32,10,27,128,7,1,70,55,4,1,1,4,10,22,4.241,0.314,1,9,175,73,0.376020992
klausbi01,1956,1,BOS,AL,L,135,520,91,141,29,5,7,59,1,0,90,43,0,1,6,3,7,28,3.765,0.271,-1,-1,160,69,0.307924703
kluszte01,1956,1,CIN,NL,L,138,517,91,156,14,1,35,102,1,0,49,31,22,3,0,5,11,32,3.494,0.302,1,0,225,74,0.542705884
kuennha01,1956,1,DET,AL,R,146,591,96,196,32,7,12,88,9,5,55,34,3,3,0,8,11,26,3.988,0.332,1,6,187,74,0.494880834
lemonji01,1956,1,WS1,AL,R,146,538,77,146,21,11,27,96,2,4,65,138,2,2,2,6,12,28,3.722,0.271,-1,-1,200,76,0.116906497
loganjo01,1956,1,ML1,NL,R,148,545,69,153,27,5,15,46,3,0,46,49,2,5,31,4,13,30,3.648,0.281,-1,-1,175,71,0.232287614
